;x,,,,,
declaration_of_independence_title;The Declaration of Independence;x,,,,,
declaration_of_independence_desc;We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.;x",,,,,
form_danubian_confederation_title;Form the Danubian Confederation;x, One Monarch, Many People.;x,,,
form_danubian_confederation_desc;The final steps towards unifying the empire are over. We can now step forward in to the future as an equal and representative union. One Nation,,,,,
form_austria_hungary_title;Form the Austro-Hungarian Union;x,,,,,
form_austria_hungary_desc;We must come together to restore the wealth and prosperity of our country after the fallout of the Austrian Civil War.;x,,,,,
NWCTIT10; Total collapse in Gran Colombia;x , at worst natives and savages have risen up, slaughtered their local administration and claimed land for themselves. This seems to be the total collapse of Gran Columbia as we know it.;x,,,
NWCDES10; Though we have secured our independence from the Spanish our state has found itself heading an administration stretched well beyond the breaking point. In the best of cases local leaders and administrations feel they've been left independent and have simply declared as such,,,,,
NWCTIT11;President Philippe Henriques shot!;x , when he arrived the gunman had already fled, leaving our dear president dead on the road. Theories on the gunman are already spreading like wildfire, with some saying it was a Spanish loyalist trying to weaken Peru for a renewed Spanish Invasion or a native Aimara hoping for his own peoples independence, some have dared to blame Vice President Ricardo Vargas. Regardless of who is truly responsible, the death of President Henriques has clearly shattered our nations Independence Day celebrations and left our citizens shaken. We can only hope that this doesn't destroy the future of our young nation.;x
NWCDES11;The beloved leader and gentle father of independent Peru was shot through the neck by an unknown assailant in the early hours of the morning while he was on his way to the building site of the new congress building. A nearby policeman heard the shot and rushed to investigate,,,,,
NWCTIT12;Death and Anarchy in Peru;x , as a result anarchy has consumed Peru with local governors breaking away from the central government and declaring independence. With seemingly a total collapse on his hands, President Vargas has resigned from office without declaring who will be his successor. Without any formal leadership the Peruvian Congress is now scrambling to find someone who's actually willing to lead Peru. Sadly it seems to be far too late for someone to pull Peru back together however time will have to show us what this cruel world shall throw at us.;x,,,
NWCDES12;Though we have might have escaped from Spanish tyranny Peru has descended into total chaos after the assassination of President Philippe Henriques. The newly appointed President Vargas has failed to fill the gap left by President Henriques,,,,,
NWCTIT13;Total collapse in Buenos Aires;x , at worst natives and savages have risen up, slaughtered their local administration and claimed land for themselves. This seems to be the total collapse of Buenos Aires as we know it.;x,,,
NWCDES13;Though we have secured our independence from the Spanish our state has found itself heading an administration stretched well beyond the breaking point. In the best of cases local leaders and administrations feel they've been left independent and have simply declared as such,,,,,
form_united_maya_title;Unite the Mayan People;x,,,,,
form_united_maya_desc; With the former slaves of the North and the farmers of the South drawing closer together under our stewardship we feel that we finally have the ability to properly unite the Mayan people for the first time since the Spanish invaded all those centuries ago. Let North and South go forward onto the world stage as a united people.;x,,,,,
INDTIT01;The Second Contiental Congress;x,,,
INDDES01;The Second Continental Congress was a meeting of delegates from the Thirteen Colonies in America which united in the American Revolutionary War. It convened on May 10, 1775 with representatives from 12 of the colonies in Philadelphia, Pennsylvania shortly after the Battles of Lexington and Concord, succeeding the First Continental Congress which met in Philadelphia from September 5 to October 26, 1774. The Second Congress functioned as a de facto national government at the outset of the Revolutionary War by raising armies, directing strategy, appointing diplomats, and writing petitions such as the Declaration of the Causes and Necessity of Taking Up Arms and the Olive Branch Petition. All thirteen colonies were represented by the time that the Congress adopted the Lee Resolution which declared independence from Britain on July 2, 1776, and the congress agreed to the Declaration of Independence two days later.;x,,,
convention_USA_title;The Constitutional Convention;x,,,,,
convention_USA_desc;At the time, the convention was not referred to as a "Constitutional convention", nor did most of the delegates arrive intending to draft a new constitution. Many assumed that the purpose of the convention was to discuss and draft improvements to the existing Articles of Confederation, and would not have agreed to participate otherwise. Once the convention began, however, most of the delegates – though not all – came to agree in general terms that the goal would be a new system of government, not simply a revised version of the Articles of Confederation.;x",,,,,
INDTIT02;The Proclamation of Rebellion;x,,,
INDDES02;Officially titled A Proclamation for Suppressing Rebellion and Sedition, was the response of George III to the news of the Battle of Bunker Hill at the outset of the American Revolution. Issued on 23 August 1775, it declared elements of the American colonies in a state of "open and avowed rebellion". It ordered officials of the empire "to use their utmost endeavours to withstand and suppress such rebellion". The 1775 proclamation of rebellion also encouraged subjects throughout the empire, including those in Britain, to report anyone carrying on "traitorous correspondence" with the rebels to be punished.;x,,,
